context; target; verb; marker; embedded; source; question; cP; MatixTime; MatrixSubject; MatrixPerson; MatrixNumber; AnnotationValue1; AnnotationValue2; AnnotationValue3; AnnotationValue4; AnnotationValue5; Mean; Label; Variance; SD
Mi az, hogy nem lehet cáfolni?; Kellene csinálni a volt Simicska cégeknel egy teljeskörű revíziót, és akkor be lehetne bizonyítani hogy becsületes es értelmes ember (aki nem értékteleníti el a tulajdonában álló cégeket) áll az APEH élén.; bizonyít; modális, feltételes; Becsületes es értelmes ember (aki nem értékteleníti el a tulajdonában álló cégeket) áll az APEH élén.; MNSZ2 beszéltnyelvi alkorpusz doc#976; Ön szerint a beszélő mennyire biztos abban, hogy egy becsületes és értelmes ember áll az APEH élén?; no; present; ő; s; 3; ; ; ; ; ; ; ; ; 
Nem lehetne valami kézzelfoghatóbbat? Én meggyőződéses ateista vagyok.; Hogyan lehet bizonyítani hogy létezik a lélek?; bizonyít; modális, kérdés; Létezik a lélek.; MNSZ2 beszéltnyelvi alkorpusz doc#989; Ön szerint a beszélő mennyire biztos abban, hogy létezik a lélek?; no; present; ő; s; 3; ; ; ; ; ; ; ; ; 
A hazai demokrácia erejét és az akkori kormány demokrácia iránti elkötelezettségét az bizonyítja, hogy a miniszterelnök vizsgálatot rendelt el és a parlament vizsgáló bizottságott hozhatott létre. A te snájdíg Tomid így szerepelhetett az igazság bajnokaként.; A Watergate emlegetésével én vigyáznék a helyedbe mert ezt már hallottam a megfigyelési ügy kezdetekor ehhez képest még az sem lett bizonyítva hogy a Schmukk megfigyelte a Pokornyit amikor az bement a lány WC-be.; bizonyít; tagadás; Schmukk megfigyelte a Pokornyit amikor az bement a lány WC-be.; MNSZ2 beszéltnyelvi alkorpusz doc#998; Ön szerint a beszélő mennyire biztos abban, hogy a Schmukk megfigyelte a Pokornyit amikor az bement a lány WC-be?; no; present; ő; s; 3; ; ; ; ; ; ; ; ; 
A nyuszika megy az erdőben, előugrik a farkas és megerőszakolja nyuszikát. Utána nyuszika megkérdezi; -Te farkas, ugye van olyan papírod ami bizonyítja hogy nem vagy AIDS-es?; bizonyít; kérdés; A farkas nem AIDS-es.; MNSZ2 beszéltnyelvi alkorpusz doc#1002; Ön szerint a nyuszika mennyire biztos abban, hogy a farkas nem AIDS-es?; no; present; ő; s; 3; ; ; ; ; ; ; ; ; 
Ott pakolják ki a kéglit az orra elött, erre azt mindja hogy most nem ér ra, mer más ügybe van itt. Mondom neki talán beszólhatna rádión.; Persze nem szólhat, mert nem nyert bizonyítást hogy bűncselekmény folyik (mer ugye ő b. .ik megnézni a köcsög).; bizonyítást nyer; tagadás; Bűncselekmény folyik.; MNSZ2 beszéltnyelvi alkorpusz doc#1003; Ön szerint a beszélő mennyire biztos abban, hogy bűncselekmény folyik?; no; present; ő; s; 3; ; ; ; ; ; ; ; ; 
Erről mi a véleményetek? Az hogy, akkor ők sem jobbak nálunk, hiába fejletteb az intelligenciájuk.; Továbbá ez azt is bizonyítaná hogy fejlettebb intelligenciával is csak pusztítással lehet megoldani a problémákat.; bizonyít; modális; Fejlettebb intelligenciával is csak pusztítással lehet megoldani a problémákat.; MNSZ2 beszéltnyelvi alkorpusz doc#1011; Ön szerint a beszélő mennyire biztos abban, hogy fejlettebb intelligenciával is csak pusztítással lehet megoldani a problémákat?; no; present; ő; s; 3; ; ; ; ; ; ; ; ; 
Pedig a kérdés az volt hogy jó-e az elv és lehet-e használni? - s ha igen akkor nézzük meg hogyan. Ha meg nem akkor kikell dobni.; Vagyis százszor el lehet mondani hogy milyen szörnyű dolgok történetek Csernobilban akárhogy is szinezve nem bizonyítják hogy az elv használhatatlan.; bizonyít; tagadás; Azz elv használhatatlan.; MNSZ2 beszéltnyelvi alkorpusz doc#1014; Ön szerint a beszélő mennyire biztos abban, hogy az elv használhatatlan?; no; present; ők; t; 3; ; ; ; ; ; ; ; ; 
Vagyis százszor el lehet mondani hogy milyen szörnyű dolgok történetek Csernobilban akárhogy is szinezve nem bizonyítják hogy az elv használhatatlan.; S az ott történtek azt sem bizonyítják hogy minden technikus hanyag vagy bűnöző, de azt sem hogy minden magfizikus rablóvezéRiporter; bizonyít; tagadás; Minden technikus hanyag vagy bűnöző.; MNSZ2 beszéltnyelvi alkorpusz doc#1014; Ön szerint a beszélő mennyire biztos abban, hogy minden technikus hanyag vagy bűnöző?; no; present; ők; t; 3; ; ; ; ; ; ; ; ; 
De ha vitára kerülne a sor, akkor bukta, mert a jegykezelő műszaki felépítése kizárja a több pecsételést, és az ilyen jegy már eleve a szándékos manipuláció bizonyítéka.; Ezért javaslom minden lógósnak a húzott jegyet, arról ugyanis, hogy te a nagy tumultusban, sietségben ' véletlenül ' hamar kihúztad a jegyet nem lehet bizonyítani hogy szándékos.; bizonyít; modális, tagadás; A jegy korai kihúzása szándékos.; MNSZ2 beszéltnyelvi alkorpusz doc#1014; Ön szerint a beszélő mennyire biztos abban, hogy a jegy korai kihúzása szándékos?; no; present; ; ; ; ; ; ; ; ; ; ; ; 
Ha összehasonlítjuk például a hasonló technikával végzett koszorúér őssejt terápiával, ott nagyon nehéz bonyolult az eredményeket értékelni. A mi esetünkben rendkívül látványos.; Sándor: - Műszeresen lehet -e bizonyítani hogy regenerálódott az ér?; bizonyít; modális, kérdés; Regenerálódott az éRiporter; MNSZ2 beszéltnyelvi alkorpusz doc#2623; Ön szerint Sándor mennyire biztos abban, hogy regenerálódott az ér?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
